City,Name,City (listed),Category,Has website/social,Has address,Dupe?,Unsourced fields,Flags,Verify (Google Maps),Keep / Edit / Remove,Founder notes
Atlanta,Tony's Barber Studio,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Tony's%20Barber%20Studio%20Atlanta,,
Atlanta,Twisted Soul Cookhouse & Pours,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Twisted%20Soul%20Cookhouse%20%26%20Pours%20Atlanta,,
Atlanta,Urban Grind Atlanta,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Urban%20Grind%20Atlanta%20Atlanta,,
Atlanta,Versus ATL,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Versus%20ATL%20Atlanta,,
Atlanta,Vibe Ride Grant Park,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Vibe%20Ride%20Grant%20Park%20Atlanta,,
Atlanta,Virgil's Gullah Kitchen & Bar,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Virgil's%20Gullah%20Kitchen%20%26%20Bar%20Atlanta,,
Atlanta,Wadada Healthy Market & Juice Bar,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Wadada%20Healthy%20Market%20%26%20Juice%20Bar%20Atlanta,,
Atlanta,WEBMyers Construction,Atlanta,construction-trades,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=WEBMyers%20Construction%20Atlanta,,
Atlanta,XEC Solutions,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=XEC%20Solutions%20Atlanta,,
Atlanta,ZuCot Gallery,Atlanta,arts-culture,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=ZuCot%20Gallery%20Atlanta,,
Houston,GigEasy,Houston,technology,NO,NO,,,no-website / no-address,https://www.google.com/maps/search/?api=1&query=GigEasy%20Houston,,
Houston,A Vibe Called Hair,Bellaire,beauty-grooming,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=A%20Vibe%20Called%20Hair%20Bellaire,,
Houston,Five Star Social Media Agency,Sugar Land,social-media-marketing,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Five%20Star%20Social%20Media%20Agency%20Sugar%20Land,,
Houston,Guillory Candle Co.,Houston,home-living,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Guillory%20Candle%20Co.%20Houston,,
